station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
182,479 - Pq. Augusta,-23.54910041,-46.64845066,13,19,0.6842105263157895,0.3157894736842105,0.6842105263157895,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-3.88556980058147
183,183 - Mackenzie,-23.546492,-46.650393,8,15,0.5333333333333333,0.4666666666666667,0.5333333333333333,-1,False,Consolação,57365,7500,5736.5,2.360700773354271,-1.8273674400209377
184,481 - Martim Francisco,-23.53999026,-46.65282037,6,19,0.3157894736842105,0.6842105263157895,0.3157894736842105,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.869691287184759
187,187 - Parque Buenos Aires,-23.5456065509866,-46.6570562938632,0,11,0.0,1.0,0.0,-1,True,Consolação,57365,7500,5736.5,2.360700773354271,-2.360700773354271
189,189 - CEMG Faria Lima,-23.5706120024434,-46.6904882733558,15,23,0.6521739130434783,0.34782608695652173,0.6521739130434783,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.7650754553862809
190,70 -- Alameda Casa Branca,-23.5678391124139,-46.6640697432797,0,15,0.0,1.0,0.0,-1,True,Bela Vista,63190,6200,6319.0,3.1628822441928426,-3.1628822441928426
193,193 - Praça Monte Castelo,-23.569908843225,-46.7080343523465,12,15,0.8,0.19999999999999996,0.8,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.6172493684297591
194,194 - Jaguaribe,-23.5415334086621,-46.6555547195509,3,11,0.2727272727272727,0.7272727272727273,0.2727272727272727,-1,False,Consolação,57365,7500,5736.5,2.360700773354271,-2.0879735006269984
196,196 - Alameda Barros,-23.5369791042457,-46.6541473967476,8,11,0.7272727272727273,0.2727272727272727,0.7272727272727273,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.4582080335962424
198,198 - Marechal Deodoro,-23.5358897652191,-46.656765280581,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.730935306323515
204,204 - Consolação,-23.556727,-46.664197,1,19,0.05263157894736842,0.9473684210526316,0.05263157894736842,-1,True,Consolação,57365,7500,5736.5,2.360700773354271,-2.3080691944069023
207,207 - Bela Cintra,-23.561309,-46.670715,2,11,0.18181818181818182,0.8181818181818181,0.18181818181818182,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.6309816119438834
211,211 - Capote Valente,-23.5608,-46.6732,1,15,0.06666666666666667,0.9333333333333333,0.06666666666666667,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.746133127095398
215,215 - E.E. Godofredo Furtado,-23.5594417332263,-46.6784556405711,2,15,0.13333333333333333,0.8666666666666667,0.13333333333333333,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.6794664604287317
216,216 - João Moura 328,-23.5621418901363,-46.6765358521077,0,15,0.0,1.0,0.0,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.812799793762065
220,220 - R. dos Pinheiros,-23.56482,-46.68104,3,15,0.2,0.8,0.2,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.612799793762065
222,222 - Rua Horácio Lane,-23.5587392337508,-46.6871313395988,5,15,0.3333333333333333,0.6666666666666667,0.3333333333333333,-1,False,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.4794664604287315
223,223 - Fradique Coutinho 558,-23.5620789029004,-46.6871566756018,2,19,0.10526315789473684,0.8947368421052632,0.10526315789473684,-1,True,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.7075366358673283
224,224 - Metrô Fradique Coutinho,-23.5655318803865,-46.6848831891663,15,27,0.5555555555555556,0.4444444444444444,0.5555555555555556,-1,False,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.2572442382065097
225,225 - Sampaio Vidal 530,-23.5687716945858,-46.6841990407743,6,15,0.4,0.6,0.4,-1,False,Vila Madalena,48501,7200,4850.1,2.812799793762065,-2.412799793762065
227,227 - R. Simão Álvares,-23.5610082884253,-46.6908515920839,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.9505827017630925
229,229 - R. Artur de Azevedo,-23.5661229934209,-46.6876470783052,9,11,0.8181818181818182,0.18181818181818177,0.8181818181818182,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.5990675502479409
231,231 - Instituto Tomie Ohtake,-23.5614126775109,-46.6953706304033,7,11,0.6363636363636364,0.36363636363636365,0.6363636363636364,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.7808857320661228
232,232 - Rua Sumidouro,-23.5652988887731,-46.695663653168,8,19,0.42105263157894735,0.5789473684210527,0.42105263157894735,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.9961967368508118
234,234 - Praça Roquete Pinto,-23.5587771000465,-46.699386022988,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.9505827017630925
240,240 - Praça Panamericana,-23.5541789045117,-46.707987125315,0,19,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
241,241 - CPTM Cidade Universitária,-23.5567967829597,-46.7109312356492,8,19,0.42105263157894735,0.5789473684210527,0.42105263157894735,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.9961967368508118
242,242 - Letras,-23.5626317229985,-46.7261720365212,0,11,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
243,243 - Bancos/Reitoria,-23.5599272394511,-46.72710617306,1,23,0.043478260869565216,0.9565217391304348,0.043478260869565216,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.373771107560194
244,244 - Metrô Butantã,-23.570594,-46.707938,18,19,0.9473684210526315,0.052631578947368474,0.9473684210526315,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.4698809473771276
245,245 - P1,-23.5654280569129,-46.7129912900556,12,15,0.8,0.19999999999999996,0.8,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.6172493684297591
247,247 - CEPE,-23.562020824986,-46.7175716449639,4,27,0.14814814814814814,0.8518518518518519,0.14814814814814814,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.269101220281611
248,248 - Biblioteca Brasiliana,-23.5625149269804,-46.722825563147,0,27,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
252,252 - Psicologia,-23.5551999484936,-46.7241492890766,4,11,0.36363636363636365,0.6363636363636364,0.36363636363636365,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.0536130047933954
253,253 - Pedalusp Biênio,-23.5560950313374,-46.7322053771584,4,23,0.17391304347826086,0.8260869565217391,0.17391304347826086,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.2433363249514984
254,254 - Terminal de Ônibus USP,-23.557297543107648,-46.720309393864646,15,15,1.0,0.0,1.0,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.4172493684297591
256,256 - Bandejão Prefeitura,-23.5597355337842,-46.7398201170462,0,15,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
262,262 - Colégio Santa Cruz,-23.5501563898634,-46.7175712669578,7,19,0.3684210526315789,0.631578947368421,0.3684210526315789,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.0488283157981801
280,477 - Rua Arizona,-23.6148978364611,-46.687426359836,3,19,0.15789473684210525,0.8421052631578947,0.15789473684210525,-1,True,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.9935203191269841
285,285 - Posto Vila Buarque,-23.54512,-46.64764,7,11,0.6363636363636364,0.36363636363636365,0.6363636363636364,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-3.933416690533623
292,292 - Rua Domingos de Moraes,-23.5789116092428,-46.640856930462,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.708336789647388
293,293 - Metrô Ana Rosa,-23.5808426571183,-46.6377561803736,11,23,0.4782608695652174,0.5217391304347826,0.4782608695652174,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.6846213746276253
295,295 - Vergueiro,-23.5844511087101,-46.6364894393958,9,23,0.391304347826087,0.6086956521739131,0.391304347826087,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.7715778963667557
296,296 - Largo Ana Rosa,-23.5808723459433,-46.6389882042411,0,11,0.0,1.0,0.0,-1,True,Bela Vista,63190,6200,6319.0,3.1628822441928426,-3.1628822441928426
297,297 - SESC Vila Mariana,-23.5819406080888,-46.6428930721909,8,19,0.42105263157894735,0.5789473684210527,0.42105263157894735,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.7418296126138952
303,303 - Rio Grande,-23.5871298485912,-46.6432336771114,9,15,0.6,0.4,0.6,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.5628822441928425
304,304 - Gandavo,-23.5918790017162,-46.6422240650602,6,11,0.5454545454545454,0.4545454545454546,0.5454545454545454,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.5535966627007693
307,307 - Metrô Vila Mariana,-23.5898021306398,-46.6350854815602,7,23,0.30434782608695654,0.6956521739130435,0.30434782608695654,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.858534418105886
308,308 - Rua Cunha,-23.5950450453396,-46.6376374921996,3,15,0.2,0.8,0.2,-1,True,Moema,83368,9800,8336.8,-0.008142117246223934,0.20814211724622395
